Room type,Price,Location,URL
Habitación Individual,325 €/mes,"Pedrezuela, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble · Sólo chicos,750 €/mes,"Guindalera, Salamanca, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,320 €/mes,"Casco Histórico, Centro, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,600 €/mes,"Puerta del Ángel, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,570 €/mes,"Justicia-Chueca, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,450 €/mes,"Las Margaritas-Universidad, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,410 €/mes,"Algete, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,590 €/mes,"Bellas Vistas, Tetuán, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,690 €/mes,"Canillejas, San Blas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,410 €/mes,"Lucero, Latina, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,100 €/mes,"Talamanca de Jarama, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,590 €/mes,"La Paz, Fuencarral-El Pardo, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,425 €/mes,"Centro, Getafe, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,320 €/mes,"San Nicasio-Campo de Tiro-Solagua, Leganés, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,325 €/mes,"Ensanche, Ensanche-Espartales, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,320 €/mes,"Ensanche, Ensanche-Espartales, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,300 €/mes,"Casco Antiguo, Alcorcón, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,350 €/mes,"Centro, Villaviciosa de Odón, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,360 €/mes,"Canillas, Hortaleza, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,250 €/mes,"Canillas, Hortaleza, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,310 €/mes,"Los Rosales, Villaverde, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,500 €/mes,"Embajadores-Lavapiés, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,500 €/mes,"Embajadores-Lavapiés, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,350 €/mes,"La Fortuna, Leganés, Madrid",https://www.pisocompartido.com/habitacion/920448/
